Sentence,Label
Christianity teaches to try to make everyone happy. Unlike other religions that build up on hate...,appeal to ridicule
"No, because all people are the same. You are not worth more than me, just because you are a doctor.",appeal to ridicule
Do you really think that people who delight us with wonderful music should live like the poor?,appeal to ridicule
"You couldn't possibly buy that wile thinking about all the poor, abused people who were exploited to produce these things.",appeal to ridicule
I like how celebrities are treated like non-celebrities when it comes to the law.,appeal to ridicule
"Please, Apple, don't pay any money to these so-called ""musicians"" - they are just rich cocain junkies, we don't want to support them  further...",appeal to ridicule
"All these women who are unsecure because of their small breasts and big asses. Life would be so much better without these chauvinist-plastic-""MD's""",appeal to ridicule
"Gangsta rap is the thing. Heavy metal is for old freaks, who want a love/peace-revolution. If you are as hard and street-proven as me, you think the same.",appeal to ridicule
"Aren't you patriotic? If America wants to see him gone, isn't getting rid of him the right thing to do?",appeal to ridicule
History shows that now it is a peaceful religion but converting half the world to it was by the way of killing people./,appeal to ridicule
"Oh no, forget it, Ronaldo is just such a mannequin. Look at Neuer then - what do you see? Look at him. This is German efficiency 2.0. He's gonna make you cry, make you girlfriend love him and make all other national teams just give up before even touching the ball!",appeal to ridicule
Anyone who wants to see Gorillas can visit zoo.,appeal to ridicule
"No, these awkward little humans will cry behind grids.",appeal to ridicule
The musicians are so rich so they won't be hobos if they make their music accessible to all for free.,appeal to ridicule
"Yes, look at their lazy population. Most of them are unemployed and from the age of 54 on, they are pensioners, whereas the hardworking german has to work until he is 65 and pay for their rent.",appeal to ridicule
