Sentence,Label
"Renewables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.",false analogy
"Like countless other organisms, we move and adapt when the environment changes. Species thrive when it is warm.",false analogy
"You’ve only got to look at Singapore. It’s two-and-a-half times higher than the worst-case scenario for climate change, and it’s one of the most desirable cities in the world to live in.",false analogy
"Venus, which was once a very Earth-like planet with plenty of life-supporting water before runaway climate change rapidly transformed it into an arid and uninhabitable sphere enveloped in an unbreathable gas.",false analogy
"They do know that in acid waters, oysters and mussels will struggle to grow their shells, and that when the pH of human blood drops as much as the oceans’ pH has over the past generation, it induces seizures, comas, and sudden death.",false analogy
"Renewables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.",false analogy
"Moreover, its warming impact decreases sharply after the first 20 or 30 ppm. Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red. A second coat of paint has much less of an effect, while adding a third or fourth coat has almost no impact at all.",false analogy
"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",false analogy
"No one objects to a physician looking up a difficult case in medical books. Why, then, shouldn't students taking a difficult examination be permitted to use their textbooks?",false analogy
People who have to have a cup of coffee every morning before they can function have no less a problem than alcoholics who have to have their alcohol each day to sustain them.,false analogy
"If somebody has a cure for cancer, would you reject it because it was somebody you may not like who came up with it?",false analogy
To say humans are immortal is like saying a car can run forever.,false analogy
Making people register their own guns is like the Nazis making the Jews register with their government. This policy is crazy.,false analogy
"If one were to listen to only one kind of music or eat only one kind of food, it would soon become tasteless or boring. Variety makes eating and listening exciting and enriching experiences. So it seems to me that an exclusive sexual relationship with only one partner for the rest of ones life, that is, marriage, does not hold out much hope for very much excitement or enrichment.",false analogy
"Smoking cigarettes is just like ingesting arsenic into your system. Both have been shown to be causally related to death. So if you wouldn't want to take a spoonful of arsenic, I would think that you wouldn't want to continue smoking.",false analogy
"Because human bodies become less active as they grow older, and because they eventually die, it is reasonable to expect that political bodies will become less and less active the longer they are in existence, and that they too will eventually die.",false analogy
People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.,false analogy
"Raising children is like training pets. If you can handle a dog, you can handle a child.",false analogy
Switching from gasoline cars to electric cars is like trading cigarettes for e-cigarettes; both are harmful in the long run.,false analogy
"Using antibiotics to treat bacterial infections is just like using pesticides in agriculture. Both create stronger, resistant strains of the original problem.",false analogy
Allowing people to choose their own work hours is like letting students choose their own school subjects. Both lead to a lack of discipline and poor results.,false analogy
"Maintaining a healthy diet is like maintaining a well-oiled machine. Just as machines need regular oil changes to run smoothly, humans need consistent diets to function properly.",false analogy
Implementing strict immigration policies is like securing your home with high fences and locks. Both keep out unwanted intruders and protect what's inside.,false analogy
Requiring vaccinations for schoolchildren is like forcing everyone to wear seat belts. Both infringe on personal freedoms under the guise of safety.,false analogy
"Social media platforms are like public parks. If we regulate speech on social media, it’s the same as regulating conversations in public parks.",false analogy
Learning a new language as an adult is like learning to walk again after an injury. Both are nearly impossible without constant practice and patience.,false analogy
Allowing employees to work from home permanently is like allowing them to take a permanent vacation. Both will lead to a drop in productivity and accountability.,false analogy
