Sentence,Label
"And if it won't come down, the economy's going to slow down, maybe go into a recession.",slippery slope
"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future. And at the same time will destroy markets that are important to our farmers.",slippery slope
"Although Governor Reagan has changed his position lately, on four different occasions, he has advocated making Social Security a voluntary system, which would, in effect, very quickly bankrupt it.",slippery slope
because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.,slippery slope
"And if the agricultural economy collapses, then the economy of the rest of the United States sooner or later will collapse.",slippery slope
"So if the farmers' economy continues to decline as sharply as it has in recent years, then I think you would have a recession in the rest of the country.",slippery slope
"The minute we have bilateral talks, the six-party talks will unwind.",slippery slope
"It will cause the six-party talks to evaporate. It will mean that China no longer is involved in convincing, along with us, for Kim Jong Il to get rid of his weapons.",slippery slope
"And if you enter bilateral talks, they'll be happy to walk away from the table.",slippery slope
"Now, you're -- and the way it would happen is that under his plan, if a school was designated as failing, the kids would be trapped there for another three years and then some of them would get federal vouchers and the state would be forced to match those, that money.",slippery slope
It's going to blow a hole in the deficit It's going to raise taxes on nine million people and require bigger cuts than the one I vetoed.,slippery slope
"If he gets elected president, we'll start the new century without anyone in the cabinet of the President representing education in our children.",slippery slope
"When the federal government gets the power to pay teachers, inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach. I think this would be bad for the country; I think it would be bad for the teaching profession.",slippery slope
The President's economic plan calls for increasing the taxes to the point that we finally take so much money away from the people that we can balance the budget in that way. But we will have a very poor nation and a very unsound economy if we follow that path.,slippery slope
"If the United States had not moved when we did in southern Africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world.",slippery slope
"If we had not taken our initiative, it's very, very possible that uh - the government of Rhodesia would have been overrun and that the Soviet Union and the Cubans would have dominated uh - southern Africa.",slippery slope
If we continue under Mr. Ford's policy by 1985 or '90 we'll have twenty nations that have the capability of exploding atomic weapons. This has got to be stopped. That is one of the major challenges and major undertakings that I will assume as the next president.,slippery slope
"He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation .  Now, here's what that means .  It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented .  And we would then have to put them on trains, on buses to get them out of our country .",slippery slope
"that once you do this - follow this course of action - of indicating that you are not going to defend a particular area, the inevitable result is that it encourages a man who is determined to conquer the world to press you to the point of no return. And that means war.",slippery slope
"There wouldn't be time for a President to decide; it would be decided by these remote computers. It might be an oil fire, it might be a jet exhaust, the computer might decide it's a missile -- and off we go.",slippery slope
"This administration, by going into the Star Wars system, is going to add a dangerous new escalation.",slippery slope
