Sentence,Label
"Late 20th century and early 21st century global warming, they show, is neither dramatic, nor unusual, nor scary. Here … are just some of the charts to prove it.",strawman
"The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is. CO2 is colorless, odorless and completely non-toxic. Plants depend on it to live and grow, and human beings draw some into their lungs with every breath they take to no ill effect whatsoever. Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”",strawman
those who don’t want to say ‘Merry Christmas’ or use Christmas decorations are inherently anti-Christian.,strawman
People who want to lower sentences for drug offenses must want children to be running around doing drugs.,strawman
"All vegans are opposed to animal captivity, including pet ownership.",strawman
"I submit to you that if you can't take this evidence and find these defendants guilty on this evidence then we might as well open all the banks and say, Come on and get the money, boys, because we'll never be able to convict them.",strawman
Those who advocate for environmental protection are clearly against progress and economic development.,strawman
You think that we should invest more in education? You must be suggesting that we throw unlimited funds at schools without any accountability or oversight.,strawman
"My daughter's teacher says her class needs to spend more time on math tasks, she clearly doesn’t care about literacy subjects.",strawman
Democrats want to spend more money on the social safety net. They are obviously communist.,strawman
My friend says that he thinks he’s going to vote for the Republicans because he thinks they have a better stance on immigration. He is racist for even considering it.,strawman
I heard someone mention that they think we should add more security cameras because of the thefts in the building. They clearly don't trust their neighbors.,strawman
My mom won't let me go to the party. Why does she hate me?,strawman
My boss says that I need to make more of an effort to turn up to work on time. Why must everyone discriminate against parents.,strawman
"Unlike genuine pollutants, carbon dioxide (CO2) is an odorless, colorless gas. Every human being exhales about two pounds of CO2 a day, along with a similar amount of water vapor. CO2 is nontoxic to people and animals”",strawman
The teacher’s union argues that teachers should get a 4% pay rise. The school district says it can only afford 2.5%. The school district doesn’t care about quality education.,strawman
"Americans are so patriotic, they must think they're better than everyone else.",strawman
"My dad says we won't go on holiday this year, he must not want me to have any fun.",strawman
My wife was on a phone call for work while I was unpacking the dishwasher. She asked me to keep the noise down while she’s on the phone. She never appreciates my cleaning.,strawman
My husband says these pants make me look slim. He must think I look fat in the other ones.,strawman
"A law was proposed that in 10 years, all vehicles should be electric powered. This is a war on the weekend - how will I take long weekend rides anymore?",strawman
